"station_id","gauge_name","institution","gauge_lat","gauge_lon","gauge_alt","total_days_calendar","total_days_valid","TC","MC","SD","SS","TD","STRS","reliability"
"X12586001","Rio Las Minas En Bt. Sendos","DGA",-53.1381,-70.9875,209,26298,7289,0.277169366491748,0.277249299510724,0,0.980121473708297,0.999999999974694,0.450475282190974,"Moderate"
"X12586010","Magdalena Giglio 2","DGA",-53.1397,-71.0561,420,26298,2946,0.112023728040155,0.112016536108119,0,0.994364773185653,0,0.161047729757642,"Very Low"
"X12586006","Cerro Mirador","DGA",-53.1842,-71.0833,585,26298,4085,0.15533500646437,0.155427547363031,0,0.990031547902732,0,0.184460543570342,"Very Low"
"X00530005","Fuentes Martinez Porvenir Ad.","DMC",-53.1875,-70.3203,10,26298,12298,0.467640124724314,0.467722075208982,0,0.989760754391527,1,0.556198631658692,"Moderate"
"X12809001","Porvenir","DGA",-53.2908,-70.37,41,26298,11126,0.423073998022663,0.42311989499895,0,0.990991205090212,1,0.531801293665558,"Moderate"
"X12815001","Onaisin En Maria Cristina","DGA",-53.3056,-69.2675,33,26298,11147,0.423872537835577,0.423836820575674,0,0.986095802014835,1,0.531730546696075,"Moderate"
"X12863001","San Sebastian","DGA",-53.3217,-68.6614,17,26298,10694,0.406646893299871,0.406817886153143,0,0.982053688334888,1,0.521903908361736,"Moderate"
"X12582003","Lago Parrillar","DGA",-53.4025,-71.2497,324,26298,10487,0.398775572286866,0.399020473708785,0,0.964185236425846,0,0.315806313755841,"Low"
"X12816001","Cameron","DGA",-53.6369,-69.6506,9,26298,9743,0.370484447486501,0.370338570634038,0,0.982134004863552,1,0.501943377390815,"Moderate"
"X12873001","Russfin","DGA",-53.7594,-69.1892,222,26298,9410,0.357821887596015,0.357863353829358,0,0.984754470369502,0,0.295287851773094,"Low"
"X12821000","Rio Condor","DGA",-53.9964,-70.0781,8,26298,3073,0.116852992623013,0.116868209067296,0,0.994381593688755,0,0.163711109422603,"Very Low"
"X12876003","Pampa Huanaco","DGA",-54.0497,-68.7997,154,26298,9777,0.371777321469313,0.371801220565472,0,0.985242775221884,1,0.503007779104351,"Moderate"
"X12879000","Lago Deseado","DGA",-54.3378,-68.8242,619,26298,3637,0.138299490455548,0.138334008932127,0,0.987242453178901,0,0.174797594687586,"Very Low"
"X12930004","Puerto Navarino","DGA",-54.9256,-68.3236,7,26298,3704,0.140847212715796,0.140878527336861,0,0.990256939078343,1,0.376499489556788,"Low"
"X00550001","Guardia Marina Zanartu Pto Williams Ad.","DMC",-54.9317,-67.6156,13,26298,21350,0.811848809795422,0.811836374386198,0,0.986178569535733,1,0.745131593488749,"Good"
"X12930001","Rio Robalo En Puerto Williams","DGA",-54.9469,-67.6392,62,26298,4803,0.182637462924937,0.18239532081011,0,0.978294313855308,1,0.39821950046554,"Low"
"X12930003","Robalo Alto","DGA",-54.9769,-67.6744,312,26298,3405,0.129477526808122,0.129499132388917,0,0.989892944983986,1,0.370207335638065,"Low"
